Identifier,Location,Date,Languages,medium,transcription,translation,url,image_id
 = P.Tebt.Frag.21 = berkeley 2672,,1 CE - 199 CE,grc,,,,"/apis/berkeley.apis.2672?rows=3&start=231&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=232&t=3676",0
 = P.Tebt.Frag.16 = berkeley 2294,,199 BCE - 1 BCE,grc,,,,"/apis/berkeley.apis.2294?rows=3&start=220&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=221&t=3676",1
 = P.Tebt.Frag.10 = berkeley 2421,,199 BCE - 1 BCE,grc,,,,"/apis/berkeley.apis.2421?rows=3&start=221&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=222&t=3676",2
 = 191 Verso = P.Tebt.Frag.12 = berkeley 3549,,203 BCE - 202 BCE,grc,,,,"/apis/berkeley.apis.3549?rows=3&start=258&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=259&t=3676",3
 = P.Tebt.Suppl.01 = berkeley 8894,,1 CE - 350 CE,grc,,,,"/apis/berkeley.apis.8894?rows=3&start=274&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=275&t=3676",4
 = P.Got. 54 = P. Got. inv. 38 = gothenburg 45,unbekannt,551 CE - 641 CE," grc, grc",,,,"/ddbdp/ddbdp;2015;1?rows=3&start=816&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=817&t=3676",5
 = P.Got. 29 = P. Got. inv. 10 = gothenburg 22,Arsinoites ?,641 CE," grc, grc",,,,"/ddbdp/ddbdp;2015;2?rows=3&start=817&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=818&t=3676",6
 = P.Got. 23 = P. Got. inv. 4 = gothenburg 16,Arsinoites ?,601 CE - 700 CE," grc, grc",,,,"/ddbdp/ddbdp;2015;3?rows=3&start=818&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=819&t=3676",7
 = Von der Pharaonenzeit bis zur Spätantike  = P.Tebt. 2 451 = P.Tebt.0451 = berkeley 794,"Tebtynis ? (Arsinoites, Ägypten)",201 CE - 300 CE," grc, grc",,,,"/ddbdp/ddbdp;2015;4?rows=3&start=819&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=820&t=3676",8
 = O.Ber. 2 226 = Inv. BE01-48-152 = berenike 226,Berenike,50 CE - 75 CE," grc, grc",,,,"/ddbdp/ddbdp;2016;2?rows=3&start=820&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=821&t=3676",9
